filename,start,end
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0171.V5_1.nc,1997-05-05T19:56:17.0,1997-05-15T17:53:55.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0172.V5_1.nc,1997-05-15T17:54:48.0,1997-05-25T15:52:27.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0173.V5_1.nc,1997-05-25T15:53:20.0,1997-06-04T13:50:59.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0174.V5_1.nc,1997-06-04T13:51:52.0,1997-06-14T11:49:30.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0175.V5_1.nc,1997-06-14T11:50:24.0,1997-06-24T09:48:02.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0176.V5_1.nc,1997-06-24T09:48:55.0,1997-07-04T07:46:32.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0177.V5_1.nc,1997-07-04T07:47:25.0,1997-07-14T05:45:03.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0178.V5_1.nc,1997-07-14T05:45:57.0,1997-07-24T03:43:35.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0179.V5_1.nc,1997-07-24T03:44:28.0,1997-08-03T01:42:06.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0180.V5_1.nc,1997-08-03T01:42:59.0,1997-08-12T23:40:37.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0181.V5_1.nc,1997-08-12T23:41:31.0,1997-08-22T21:39:09.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0182.V5_1.nc,1997-08-22T21:40:01.9,1997-09-01T19:37:40.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0183.V5_1.nc,1997-09-01T19:38:34.0,1997-09-11T17:36:11.9
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0184.V5_1.nc,1997-09-11T17:37:05.0,1997-09-21T15:34:44.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0185.V5_1.nc,1997-09-21T15:35:37.0,1997-10-01T13:33:15.9
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0186.V5_1.nc,1997-10-01T13:34:09.0,1997-10-11T11:31:47.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0187.V5_1.nc,1997-10-11T11:32:41.0,1997-10-21T09:30:19.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0188.V5_1.nc,1997-10-21T09:31:12.0,1997-10-31T07:28:50.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0189.V5_1.nc,1997-10-31T07:29:43.0,1997-11-10T05:27:21.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0190.V5_1.nc,1997-11-10T05:28:14.0,1997-11-20T03:25:52.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0191.V5_1.nc,1997-11-20T03:26:46.0,1997-11-30T01:24:24.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0192.V5_1.nc,1997-11-30T01:25:17.0,1997-12-09T23:22:55.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0193.V5_1.nc,1997-12-09T23:23:47.9,1997-12-19T21:21:26.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0194.V5_1.nc,1997-12-19T21:22:19.0,1997-12-29T19:19:57.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0195.V5_1.nc,1997-12-29T19:20:51.0,1998-01-08T17:18:29.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0196.V5_1.nc,1998-01-08T17:19:21.9,1998-01-18T15:17:01.0
